Latitude	Longitude	Prob (%)
28.8	-122.8	0.0
29.0	-122.8	0.0
29.2	-122.8	0.0
29.4	-122.8	0.0
29.6	-122.8	0.0
29.8	-122.8	0.0
30.0	-122.8	0.0
30.2	-122.8	0.0
30.4	-122.8	0.0
30.6	-122.8	0.0
30.8	-122.8	0.0
31.0	-122.8	0.0
31.2	-122.8	0.0
31.4	-122.8	0.0
31.6	-122.8	0.0
31.8	-122.8	0.0
32.0	-122.8	0.0
32.2	-122.8	0.0
32.4	-122.8	0.0
32.6	-122.8	0.0
32.8	-122.8	0.0
33.0	-122.8	0.0
33.2	-122.8	0.0
33.4	-122.8	0.0
33.6	-122.8	0.0
33.8	-122.8	0.0
34.0	-122.8	0.0
34.2	-122.8	0.0
34.4	-122.8	0.0
34.6	-122.8	0.0
34.8	-122.8	0.0
35.0	-122.8	0.0
35.2	-122.8	0.0
35.4	-122.8	0.0
35.6	-122.8	0.0
35.8	-122.8	0.0
25.0	-122.6	0.0
25.2	-122.6	0.0
25.4	-122.6	0.0
25.6	-122.6	0.0
25.8	-122.6	0.0
26.0	-122.6	0.0
26.2	-122.6	0.0
26.4	-122.6	0.0
26.6	-122.6	0.0
26.8	-122.6	0.0
27.0	-122.6	0.0
27.2	-122.6	0.0
27.4	-122.6	0.0
27.6	-122.6	0.0
27.8	-122.6	0.0
28.0	-122.6	0.0
28.2	-122.6	0.0
28.4	-122.6	0.0
28.6	-122.6	0.0
28.8	-122.6	0.0
29.0	-122.6	0.0
29.2	-122.6	0.0
29.4	-122.6	0.0
29.6	-122.6	0.0
29.8	-122.6	0.0
30.0	-122.6	0.0
30.2	-122.6	0.0
30.4	-122.6	0.0
30.6	-122.6	0.0
30.8	-122.6	0.0
31.0	-122.6	0.0
31.2	-122.6	0.0
31.4	-122.6	0.0
31.6	-122.6	0.0
31.8	-122.6	0.0
32.0	-122.6	0.0
32.2	-122.6	0.0
32.4	-122.6	0.0
32.6	-122.6	0.0
32.8	-122.6	0.0
33.0	-122.6	0.0
33.2	-122.6	0.0
33.4	-122.6	0.0
33.6	-122.6	0.0
33.8	-122.6	0.0
34.0	-122.6	0.0
34.2	-122.6	0.0
34.4	-122.6	0.0
34.6	-122.6	0.0
34.8	-122.6	0.0
35.0	-122.6	0.0
35.2	-122.6	0.0
35.4	-122.6	0.0
35.6	-122.6	0.0
35.8	-122.6	0.0
25.0	-122.4	0.0
25.2	-122.4	0.0
25.4	-122.4	0.0
25.6	-122.4	0.0
25.8	-122.4	0.0
26.0	-122.4	0.0
26.2	-122.4	0.0
26.4	-122.4	0.0
26.6	-122.4	0.0
26.8	-122.4	0.0
27.0	-122.4	0.0
27.2	-122.4	0.0
27.4	-122.4	0.0
27.6	-122.4	0.0
27.8	-122.4	0.0
28.0	-122.4	0.0
28.2	-122.4	0.0
28.4	-122.4	0.0
28.6	-122.4	0.0
28.8	-122.4	0.0
29.0	-122.4	0.0
29.2	-122.4	0.0
29.4	-122.4	0.0
29.6	-122.4	0.0
29.8	-122.4	0.0
30.0	-122.4	0.0
30.2	-122.4	0.0
30.4	-122.4	0.0
30.6	-122.4	0.0
30.8	-122.4	0.0
31.0	-122.4	0.0
31.2	-122.4	0.0
31.4	-122.4	0.0
31.6	-122.4	0.0
31.8	-122.4	0.0
32.0	-122.4	0.0
32.2	-122.4	0.0
32.4	-122.4	0.0
32.6	-122.4	0.0
32.8	-122.4	0.0
33.0	-122.4	0.0
33.2	-122.4	0.0
33.4	-122.4	0.0
33.6	-122.4	0.0
33.8	-122.4	0.0
34.0	-122.4	0.0
34.2	-122.4	0.0
34.4	-122.4	0.0
34.6	-122.4	0.0
34.8	-122.4	0.0
35.0	-122.4	0.0
35.2	-122.4	0.0
35.4	-122.4	0.0
35.6	-122.4	0.0
35.8	-122.4	0.0
25.0	-122.2	0.0
25.2	-122.2	0.0
25.4	-122.2	0.0
25.6	-122.2	0.0
25.8	-122.2	0.0
26.0	-122.2	0.0
26.2	-122.2	0.0
26.4	-122.2	0.0
26.6	-122.2	0.0
26.8	-122.2	0.0
27.0	-122.2	0.0
27.2	-122.2	0.0
27.4	-122.2	0.0
27.6	-122.2	0.0
27.8	-122.2	0.0
28.0	-122.2	0.0
28.2	-122.2	0.0
28.4	-122.2	0.0
28.6	-122.2	0.0
28.8	-122.2	0.0
29.0	-122.2	0.0
29.2	-122.2	0.0
29.4	-122.2	0.0
29.6	-122.2	0.0
29.8	-122.2	0.0
30.0	-122.2	0.0
30.2	-122.2	0.0
30.4	-122.2	0.0
30.6	-122.2	0.0
30.8	-122.2	0.0
31.0	-122.2	0.0
31.2	-122.2	0.0
31.4	-122.2	0.0
31.6	-122.2	0.0
31.8	-122.2	0.0
32.0	-122.2	0.0
32.2	-122.2	0.0
32.4	-122.2	0.0
32.6	-122.2	0.0
32.8	-122.2	0.0
33.0	-122.2	0.0
33.2	-122.2	0.0
33.4	-122.2	0.0
33.6	-122.2	0.0
33.8	-122.2	0.0
34.0	-122.2	0.0
34.2	-122.2	0.0
34.4	-122.2	0.0
34.6	-122.2	0.0
34.8	-122.2	0.0
35.0	-122.2	0.0
35.2	-122.2	0.0
35.4	-122.2	0.0
35.6	-122.2	0.0
35.8	-122.2	0.0
25.0	-122.0	0.0
25.2	-122.0	0.0
25.4	-122.0	0.0
25.6	-122.0	0.0
25.8	-122.0	0.0
26.0	-122.0	0.0
26.2	-122.0	0.0
26.4	-122.0	0.0
26.6	-122.0	0.0
26.8	-122.0	0.0
27.0	-122.0	0.0
27.2	-122.0	0.0
27.4	-122.0	0.0
27.6	-122.0	0.0
27.8	-122.0	0.0
28.0	-122.0	0.0
28.2	-122.0	0.0
28.4	-122.0	0.0
28.6	-122.0	0.0
28.8	-122.0	0.0
29.0	-122.0	0.0
29.2	-122.0	0.0
29.4	-122.0	0.0
29.6	-122.0	0.0
29.8	-122.0	0.0
30.0	-122.0	0.0
30.2	-122.0	0.0
30.4	-122.0	0.0
30.6	-122.0	0.0
30.8	-122.0	0.0
31.0	-122.0	0.0
31.2	-122.0	0.0
31.4	-122.0	0.0
31.6	-122.0	0.0
31.8	-122.0	0.0
32.0	-122.0	0.0
32.2	-122.0	0.0
32.4	-122.0	0.0
32.6	-122.0	0.0
32.8	-122.0	0.0
33.0	-122.0	0.0
33.2	-122.0	0.0
33.4	-122.0	0.0
33.6	-122.0	0.0
33.8	-122.0	0.0
34.0	-122.0	0.0
34.2	-122.0	0.0
34.4	-122.0	0.0
34.6	-122.0	0.0
34.8	-122.0	0.0
35.0	-122.0	0.0
35.2	-122.0	0.0
35.4	-122.0	0.0
35.6	-122.0	0.0
35.8	-122.0	0.0
25.0	-121.8	0.0
25.2	-121.8	0.0
25.4	-121.8	0.0
25.6	-121.8	0.0
25.8	-121.8	0.0
26.0	-121.8	0.0
26.2	-121.8	0.0
26.4	-121.8	0.0
26.6	-121.8	0.0
26.8	-121.8	0.0
27.0	-121.8	0.0
27.2	-121.8	0.0
27.4	-121.8	0.0
27.6	-121.8	0.0
27.8	-121.8	0.0
28.0	-121.8	0.0
28.2	-121.8	0.0
28.4	-121.8	0.0
28.6	-121.8	0.0
28.8	-121.8	0.0
29.0	-121.8	0.0
29.2	-121.8	0.0
29.4	-121.8	0.0
29.6	-121.8	0.0
29.8	-121.8	0.0
30.0	-121.8	0.0
30.2	-121.8	0.0
30.4	-121.8	0.0
30.6	-121.8	0.0
30.8	-121.8	0.0
31.0	-121.8	0.0
31.2	-121.8	0.0
31.4	-121.8	0.0
31.6	-121.8	0.0
31.8	-121.8	0.0
32.0	-121.8	0.0
32.2	-121.8	0.0
32.4	-121.8	0.0
32.6	-121.8	0.0
32.8	-121.8	0.0
33.0	-121.8	0.0
33.2	-121.8	0.0
33.4	-121.8	0.0
33.6	-121.8	0.0
33.8	-121.8	0.0
34.0	-121.8	0.0
34.2	-121.8	0.0
34.4	-121.8	0.0
34.6	-121.8	0.0
34.8	-121.8	2.76
35.0	-121.8	0.02
35.2	-121.8	0.0
35.4	-121.8	0.0
35.6	-121.8	0.0
35.8	-121.8	0.0
25.0	-121.6	0.0
25.2	-121.6	0.0
25.4	-121.6	0.0
25.6	-121.6	0.0
25.8	-121.6	0.0
26.0	-121.6	0.0
26.2	-121.6	0.0
26.4	-121.6	0.0
26.6	-121.6	0.0
26.8	-121.6	0.0
27.0	-121.6	0.0
27.2	-121.6	0.0
27.4	-121.6	0.0
27.6	-121.6	0.0
27.8	-121.6	0.0
28.0	-121.6	0.0
28.2	-121.6	0.0
28.4	-121.6	0.0
28.6	-121.6	0.0
28.8	-121.6	0.0
29.0	-121.6	0.0
29.2	-121.6	0.0
29.4	-121.6	0.0
29.6	-121.6	0.0
29.8	-121.6	0.0
30.0	-121.6	0.0
30.2	-121.6	0.0
30.4	-121.6	0.0
30.6	-121.6	0.0
30.8	-121.6	0.0
31.0	-121.6	0.0
31.2	-121.6	0.0
31.4	-121.6	0.0
31.6	-121.6	0.0
31.8	-121.6	0.0
32.0	-121.6	0.0
32.2	-121.6	0.0
32.4	-121.6	0.0
32.6	-121.6	0.0
32.8	-121.6	0.0
33.0	-121.6	0.0
33.2	-121.6	0.0
33.4	-121.6	0.0
33.6	-121.6	0.0
33.8	-121.6	0.0
34.0	-121.6	0.0
34.2	-121.6	0.0
34.4	-121.6	0.0
34.6	-121.6	3.7
34.8	-121.6	13.38
35.0	-121.6	13.01
35.2	-121.6	0.02
35.4	-121.6	0.0
35.6	-121.6	0.01
35.8	-121.6	6.36
25.0	-121.4	19.11
25.2	-121.4	0.0
25.4	-121.4	0.0
25.6	-121.4	0.0
25.8	-121.4	0.0
26.0	-121.4	0.0
26.2	-121.4	0.0
26.4	-121.4	0.0
26.6	-121.4	0.0
26.8	-121.4	0.0
27.0	-121.4	0.0
27.2	-121.4	0.0
27.4	-121.4	0.0
27.6	-121.4	0.0
27.8	-121.4	0.0
28.0	-121.4	0.0
28.2	-121.4	0.0
28.4	-121.4	0.0
28.6	-121.4	0.0
28.8	-121.4	0.0
29.0	-121.4	0.0
29.2	-121.4	0.0
29.4	-121.4	0.0
29.6	-121.4	0.0
29.8	-121.4	0.0
30.0	-121.4	0.0
30.2	-121.4	0.0
30.4	-121.4	0.0
30.6	-121.4	0.0
30.8	-121.4	0.0
31.0	-121.4	0.0
31.2	-121.4	0.0
31.4	-121.4	0.0
31.6	-121.4	0.0
31.8	-121.4	0.0
32.0	-121.4	0.0
32.2	-121.4	0.0
32.4	-121.4	0.0
32.6	-121.4	0.0
32.8	-121.4	0.0
33.0	-121.4	0.0
33.2	-121.4	0.0
33.4	-121.4	0.0
33.6	-121.4	0.0
33.8	-121.4	0.0
34.0	-121.4	0.0
34.2	-121.4	0.0
34.4	-121.4	0.0
34.6	-121.4	1.39
34.8	-121.4	7.76
35.0	-121.4	19.43
35.2	-121.4	3.64
35.4	-121.4	0.0
35.6	-121.4	3.53
35.8	-121.4	20.66
25.0	-121.2	65.73
25.2	-121.2	0.0
25.4	-121.2	0.0
25.6	-121.2	0.0
25.8	-121.2	0.0
26.0	-121.2	0.0
26.2	-121.2	0.0
26.4	-121.2	0.0
26.6	-121.2	0.0
26.8	-121.2	0.0
27.0	-121.2	0.0
27.2	-121.2	0.0
27.4	-121.2	0.0
27.6	-121.2	0.0
27.8	-121.2	0.0
28.0	-121.2	0.0
28.2	-121.2	0.0
28.4	-121.2	0.0
28.6	-121.2	0.0
28.8	-121.2	0.0
29.0	-121.2	0.0
29.2	-121.2	0.0
29.4	-121.2	0.0
29.6	-121.2	0.0
29.8	-121.2	0.0
30.0	-121.2	0.0
30.2	-121.2	0.0
30.4	-121.2	0.0
30.6	-121.2	0.0
30.8	-121.2	0.0
31.0	-121.2	0.0
31.2	-121.2	0.0
31.4	-121.2	0.0
31.6	-121.2	0.0
31.8	-121.2	0.0
32.0	-121.2	0.0
32.2	-121.2	0.0
32.4	-121.2	0.0
32.6	-121.2	0.0
32.8	-121.2	0.0
33.0	-121.2	0.0
33.2	-121.2	0.0
33.4	-121.2	0.0
33.6	-121.2	0.0
33.8	-121.2	0.0
34.0	-121.2	0.0
34.2	-121.2	0.0
34.4	-121.2	0.0
34.6	-121.2	1.38
34.8	-121.2	1.41
35.0	-121.2	8.17
35.2	-121.2	7.15
35.4	-121.2	0.01
35.6	-121.2	6.91
35.8	-121.2	94.82
25.0	-121.0	91.71
25.2	-121.0	0.0
25.4	-121.0	0.0
25.6	-121.0	0.0
25.8	-121.0	0.0
26.0	-121.0	0.0
26.2	-121.0	0.0
26.4	-121.0	0.0
26.6	-121.0	0.0
26.8	-121.0	0.0
27.0	-121.0	0.0
27.2	-121.0	0.0
27.4	-121.0	0.0
27.6	-121.0	0.0
27.8	-121.0	0.0
28.0	-121.0	0.0
28.2	-121.0	0.0
28.4	-121.0	0.0
28.6	-121.0	0.0
28.8	-121.0	0.0
29.0	-121.0	0.0
29.2	-121.0	0.0
29.4	-121.0	0.0
29.6	-121.0	0.0
29.8	-121.0	0.0
30.0	-121.0	0.0
30.2	-121.0	0.0
30.4	-121.0	0.0
30.6	-121.0	0.0
30.8	-121.0	0.0
31.0	-121.0	0.0
31.2	-121.0	0.0
31.4	-121.0	0.0
31.6	-121.0	0.0
31.8	-121.0	0.0
32.0	-121.0	0.0
32.2	-121.0	0.0
32.4	-121.0	0.0
32.6	-121.0	0.0
32.8	-121.0	0.0
33.0	-121.0	0.0
33.2	-121.0	0.0
33.4	-121.0	0.0
33.6	-121.0	0.0
33.8	-121.0	0.0
34.0	-121.0	0.0
34.2	-121.0	1.38
34.4	-121.0	7.22
34.6	-121.0	12.37
34.8	-121.0	18.23
35.0	-121.0	23.5
35.2	-121.0	12.26
35.4	-121.0	6.92
35.6	-121.0	30.79
35.8	-121.0	99.75
25.0	-120.8	94.88
25.2	-120.8	0.0
25.4	-120.8	0.0
25.6	-120.8	0.0
25.8	-120.8	0.0
26.0	-120.8	0.0
26.2	-120.8	0.0
26.4	-120.8	0.0
26.6	-120.8	0.0
26.8	-120.8	0.0
27.0	-120.8	0.0
27.2	-120.8	0.0
27.4	-120.8	0.0
27.6	-120.8	0.0
27.8	-120.8	0.0
28.0	-120.8	0.0
28.2	-120.8	0.0
28.4	-120.8	0.0
28.6	-120.8	0.0
28.8	-120.8	0.0
29.0	-120.8	0.0
29.2	-120.8	0.0
29.4	-120.8	0.0
29.6	-120.8	0.0
29.8	-120.8	0.0
30.0	-120.8	0.0
30.2	-120.8	0.0
30.4	-120.8	0.0
30.6	-120.8	0.0
30.8	-120.8	0.0
31.0	-120.8	0.0
31.2	-120.8	0.0
31.4	-120.8	0.0
31.6	-120.8	0.0
31.8	-120.8	0.0
